date,n_gaps,B
2022-03-15 23:33:47+00:00,1,
2022-03-16 04:12:47+00:00,2,
2022-03-16 05:31:53+00:00,3,
2022-03-16 07:09:47+00:00,4,
2022-03-16 11:33:24+00:00,5,-0.22428893693022794
2022-03-16 15:47:13+00:00,6,-0.28296776070314
2022-03-16 20:31:22+00:00,7,-0.33219966341305773
2022-03-16 21:43:17+00:00,8,-0.2681986017078522
2022-03-17 01:21:29+00:00,9,-0.29835788486426024
2022-03-17 08:19:05+00:00,10,-0.30288298388759294
2022-03-17 09:06:00+00:00,11,-0.24457828228513287
2022-03-17 10:45:54+00:00,12,-0.22770983112958673
2022-03-17 12:14:59+00:00,13,-0.21027211070731336
2022-03-17 14:17:30+00:00,14,-0.20899106928121988
2022-03-17 21:19:48+00:00,15,-0.21442517528326735
2022-03-18 01:28:26+00:00,16,-0.23476804616271288
2022-03-18 03:18:25+00:00,17,-0.22729977781615912
2022-03-18 05:48:05+00:00,18,-0.23143312549904804
2022-03-18 08:46:58+00:00,19,-0.2412110612041425
2022-03-18 15:00:13+00:00,20,-0.25110371059337544
2022-03-18 15:48:15+00:00,21,-0.22655603633805732
2022-03-18 17:02:16+00:00,22,-0.21283472577844156
2022-03-18 19:12:42+00:00,23,-0.21377546283999205
2022-03-19 02:29:05+00:00,24,-0.21329793856968296
2022-03-19 04:45:46+00:00,25,-0.2143861612538273
2022-03-19 08:03:46+00:00,26,-0.22366902043363246
2022-03-19 09:45:40+00:00,27,-0.21861492123230217
2022-03-19 21:00:59+00:00,28,-0.16669764191945902
2022-03-19 21:30:38+00:00,29,-0.14844635899741937
2022-03-19 23:04:57+00:00,30,-0.14339052999843574
2022-03-20 02:59:12+00:00,31,-0.15359504093520568
2022-03-20 09:31:07+00:00,32,-0.16355968242007143
2022-03-20 14:32:35+00:00,33,-0.1748335625651434
2022-03-20 19:18:01+00:00,34,-0.18532654851407396
2022-03-20 23:32:29+00:00,35,-0.19444417999723285
2022-03-21 02:55:52+00:00,36,-0.20043894636573917
2022-03-21 04:49:07+00:00,37,-0.19749769655209193
2022-03-21 08:41:31+00:00,38,-0.20500329673226633
2022-03-21 10:44:15+00:00,39,-0.2034149742918048
2022-03-21 14:13:16+00:00,40,-0.2094064672982496
2022-03-21 17:47:44+00:00,41,-0.21553787620703035
2022-03-21 21:30:09+00:00,42,-0.2218948520713669
2022-03-22 02:33:51+00:00,43,-0.2297744384702432
2022-03-22 04:13:33+00:00,44,-0.22551644647467442
2022-03-22 06:33:20+00:00,45,-0.22576628547826275
2022-03-22 08:46:31+00:00,46,-0.2254881914919953
2022-03-22 10:05:35+00:00,47,-0.2194200626467843
2022-03-22 13:15:16+00:00,48,-0.22364265812841033
2022-03-22 15:31:24+00:00,49,-0.22392375632142097
2022-03-22 18:27:07+00:00,50,-0.22722714172582154
2022-03-23 04:45:38+00:00,51,-0.2056385900704854
2022-03-23 08:54:39+00:00,52,-0.21163928208157864
2022-03-23 10:20:19+00:00,53,-0.2070075507641384
2022-03-23 11:59:33+00:00,54,-0.20394632152691253
2022-03-23 16:37:52+00:00,55,-0.2101892991870342
2022-03-23 19:49:23+00:00,56,-0.21374971790140096
2022-03-23 22:32:57+00:00,57,-0.21572268379458792
2022-03-24 05:49:48+00:00,58,-0.21711846765415863
2022-03-24 09:27:54+00:00,59,-0.22145953337889465
2022-03-24 10:14:17+00:00,60,-0.21328130698743153
2022-03-24 10:31:31+00:00,61,-0.2021871290394365
2022-03-24 17:31:01+00:00,62,-0.20477194394439152
2022-03-24 22:08:46+00:00,63,-0.21018355579690567
2022-03-25 04:39:56+00:00,64,-0.21394733761684834
2022-03-25 10:56:26+00:00,65,-0.21817211982052861
2022-03-25 12:22:36+00:00,66,-0.21429249751664498
2022-03-25 13:34:40+00:00,67,-0.2093977185353418
2022-03-25 15:43:40+00:00,68,-0.2089370837855166
2022-03-25 21:25:08+00:00,69,-0.21362626626372713
2022-03-26 03:48:13+00:00,70,-0.2173298737500398
2022-03-26 08:59:28+00:00,71,-0.22210415841319947
2022-03-26 11:16:36+00:00,72,-0.2219261411241052
2022-03-26 14:47:14+00:00,73,-0.22508768708412408
2022-03-26 23:29:58+00:00,74,-0.22148528092189468
2022-03-27 13:27:11+00:00,75,-0.18655088405548717
2022-03-27 14:17:52+00:00,76,-0.18071180947269647
2022-03-27 17:15:41+00:00,77,-0.18228048313028955
2022-03-27 20:00:35+00:00,78,-0.18330907373203903
2022-03-27 21:12:05+00:00,79,-0.1792375852494277
2022-03-28 00:40:32+00:00,80,-0.18191308104293713
2022-03-28 09:49:07+00:00,81,-0.1804100275668741
2022-03-28 12:06:59+00:00,82,-0.18015984968313856
2022-03-28 17:22:42+00:00,83,-0.18447565554312415
2022-03-28 20:57:01+00:00,84,-0.18707963688276083
2022-03-29 00:42:30+00:00,85,-0.1899501777659295
2022-03-29 04:44:32+00:00,86,-0.19316314598377823
2022-03-29 08:03:55+00:00,87,-0.1952310169214763
2022-03-29 09:55:30+00:00,88,-0.19367712527349057
2022-03-29 12:21:23+00:00,89,-0.19378963904885355
2022-03-29 17:24:55+00:00,90,-0.19765499210893417
2022-03-29 20:05:30+00:00,91,-0.19834554131853827
2022-03-29 22:04:00+00:00,92,-0.19722837471910093
2022-03-30 02:14:38+00:00,93,-0.2004052697627336
2022-03-30 03:56:02+00:00,94,-0.19847936273222583
2022-03-30 05:05:18+00:00,95,-0.1948675012725782
2022-03-30 08:41:47+00:00,96,-0.19732347166178382
2022-03-30 14:26:16+00:00,97,-0.20085737969336168
2022-03-30 19:17:16+00:00,98,-0.20432545528842178
2022-03-31 13:42:06+00:00,99,-0.14985286700830364
2022-03-31 17:35:18+00:00,100,-0.1523762028825193
2022-03-31 18:53:57+00:00,101,-0.14967154331109836
2022-03-31 21:31:42+00:00,102,-0.15016746487533975
2022-04-01 16:35:53+00:00,103,-0.10929405608973426
2022-04-02 00:37:20+00:00,104,-0.11267193461297516
2022-04-02 13:55:50+00:00,105,-0.10647499990042475
2022-04-03 01:21:03+00:00,106,-0.10580440039831085
2022-04-03 08:02:51+00:00,107,-0.10963275191641328
2022-04-03 17:10:13+00:00,108,-0.11237553876150243
2022-04-03 18:48:07+00:00,109,-0.11053049195012006
2022-04-04 00:26:35+00:00,110,-0.113923815311352
2022-04-04 04:42:26+00:00,111,-0.11622358483666678
2022-04-04 15:17:06+00:00,112,-0.11712801063960276
2022-04-04 19:40:14+00:00,113,-0.1194478050375488
2022-04-05 02:36:41+00:00,114,-0.1229586369035961
2022-04-05 13:02:52+00:00,115,-0.1240955674995893
2022-04-05 19:11:48+00:00,116,-0.12739194101003296
2022-04-06 01:46:37+00:00,117,-0.1307380019152208
2022-04-06 09:59:28+00:00,118,-0.1337772551817471
2022-04-06 21:01:58+00:00,119,-0.13414026239785287
2022-04-06 23:16:52+00:00,120,-0.13329557720869842
2022-04-07 10:04:32+00:00,121,-0.1341166064189729
2022-04-07 17:00:59+00:00,122,-0.13730784166122903
2022-04-08 05:39:02+00:00,123,-0.13547465321569124
2022-04-08 19:13:06+00:00,124,-0.13236638354435423
2022-04-09 18:20:02+00:00,125,-0.10179827472607879
2022-04-10 12:17:38+00:00,126,-0.09313577906868033
2022-04-11 00:44:10+00:00,127,-0.09445033617068813
2022-04-11 20:02:24+00:00,128,-0.0848870435271388
2022-04-11 23:36:47+00:00,129,-0.08544242719666713
2022-04-12 08:21:07+00:00,130,-0.08871327239245802
2022-04-12 19:32:33+00:00,131,-0.09128481996276626
2022-04-13 12:23:20+00:00,132,-0.08797065083492281
2022-04-14 07:38:19+00:00,133,-0.08133089101463721
2022-04-14 10:50:51+00:00,134,-0.08130666084156828
2022-04-14 14:55:01+00:00,135,-0.08215081100809943
2022-04-14 19:03:35+00:00,136,-0.0830610162349764
2022-04-14 21:12:55+00:00,137,-0.08183596131062651
2022-04-15 02:44:31+00:00,138,-0.08381003649302049
2022-04-15 08:42:11+00:00,139,-0.08602564936007971
2022-04-15 19:28:58+00:00,140,-0.08878687535153748
2022-04-16 02:21:25+00:00,141,-0.09136685038781887
2022-04-16 06:53:50+00:00,142,-0.09254589116592783
2022-04-16 12:05:38+00:00,143,-0.09420105052065005
2022-04-16 17:38:14+00:00,144,-0.09606622938977605
2022-04-16 18:32:47+00:00,145,-0.0932128608731142
