cluster_id,n_alerts,first_start,last_start,span_hours
7,19,2022-03-20 09:31:07,2022-03-22 18:27:07,56.93
16,18,2022-03-28 09:49:07,2022-03-30 19:17:16,57.47
1,9,2022-03-15 23:33:47,2022-03-17 01:21:29,25.8
188,7,2022-08-24 03:32:01,2022-08-24 16:17:40,12.76
435,7,2023-08-25 14:04:09,2023-08-25 21:38:19,7.57
72,7,2022-05-07 22:51:26,2022-05-08 18:49:27,19.97
8,7,2022-03-23 04:45:38,2022-03-23 22:32:57,17.79
42,7,2022-04-14 07:38:19,2022-04-15 08:42:11,25.06
424,6,2023-08-09 13:02:08,2023-08-10 00:57:21,11.92
824,6,2025-01-03 02:05:38,2025-01-03 21:01:24,18.93
