oblast,raion,hromada,level,started_at,finished_at,source,duration_min
Kyiv City,,,oblast,2022-03-15 16:19:20+00:00,2022-03-15 18:52:28+00:00,official,153.13333333333333
Kyiv City,,,oblast,2022-03-15 23:33:47+00:00,2022-03-16 03:41:56+00:00,official,248.15
Kyiv City,,,oblast,2022-03-16 04:12:47+00:00,2022-03-16 04:54:31+00:00,official,41.733333333333334
Kyiv City,,,oblast,2022-03-16 05:31:53+00:00,2022-03-16 06:26:41+00:00,official,54.8
Kyiv City,,,oblast,2022-03-16 07:09:47+00:00,2022-03-16 10:44:19+00:00,official,214.53333333333333
Kyiv City,,,oblast,2022-03-16 11:33:24+00:00,2022-03-16 13:10:38+00:00,official,97.23333333333333
Kyiv City,,,oblast,2022-03-16 15:47:13+00:00,2022-03-16 17:24:46+00:00,official,97.55
Kyiv City,,,oblast,2022-03-16 20:31:22+00:00,2022-03-16 21:00:11+00:00,official,28.816666666666666
Kyiv City,,,oblast,2022-03-16 21:43:17+00:00,2022-03-16 22:21:03+00:00,official,37.766666666666666
Kyiv City,,,oblast,2022-03-17 01:21:29+00:00,2022-03-17 03:09:54+00:00,official,108.41666666666667
Kyiv City,,,oblast,2022-03-17 08:19:05+00:00,2022-03-17 08:49:39+00:00,official,30.566666666666666
Kyiv City,,,oblast,2022-03-17 09:06:00+00:00,2022-03-17 10:20:03+00:00,official,74.05
Kyiv City,,,oblast,2022-03-17 10:45:54+00:00,2022-03-17 11:46:45+00:00,official,60.85
Kyiv City,,,oblast,2022-03-17 12:14:59+00:00,2022-03-17 13:18:59+00:00,official,64.0
Kyiv City,,,oblast,2022-03-17 14:17:30+00:00,2022-03-17 14:34:14+00:00,official,16.733333333333334
Kyiv City,,,oblast,2022-03-17 21:19:48+00:00,2022-03-17 21:50:03+00:00,official,30.25
Kyiv City,,,oblast,2022-03-18 01:28:26+00:00,2022-03-18 02:12:00+00:00,official,43.56666666666667
Kyiv City,,,oblast,2022-03-18 03:18:25+00:00,2022-03-18 04:37:34+00:00,official,79.15
Kyiv City,,,oblast,2022-03-18 05:48:05+00:00,2022-03-18 06:56:13+00:00,official,68.13333333333334
Kyiv City,,,oblast,2022-03-18 08:46:58+00:00,2022-03-18 09:50:48+00:00,official,63.833333333333336
Kyiv City,,,oblast,2022-03-18 15:00:13+00:00,2022-03-18 15:42:13+00:00,official,42.0
